1000,Sequence Control
15621,Internal Error - No XML load jobs specified
15622,IP Config - Expected XML section not found
15623,No name defined for aux axis
15624,No name defined for CNC axis
15625,Axis node should only have one child
15626,Invalid axis name (axis name should start with a letter or _)
15627,Invalid axis alias (axis alias should start with a letter or _)
15628,Invalid attribute for aux axis
15629,Invalid CNC axis index
15630,Invalid attribute for CNC axis
15631,PVRef not specified for aux axis
15632,Index not specified for CNC axis
15633,Aux axis alias clash
15634,Axis defined in interpreter config file not defined in ARNC0
15635,Too many axes defined in ICF
15636,Invalid axis node. Valid nodes at this level are CNCAXIS and AUXAXIS
15637,Child node not allowed for axis
15638,Text not allowed as child of AXES node
15639,Invalid attribute for axis node
15640,CNCINDEX must be an integer
15641,Axis SysVarName too long at index
15642,Inconsistent SysVar names in axis SysVarInfo arrays
15643,Internal Error - EndLine without StartLine (line struct mismatch)
15644,Internal Error - AIL Generation rule unknown
15645,Internal Error - AIL Generator input stack full
15646,From location
15647,AIL VM Eval stack full
15648,AIL VM Var64 lock
15649,Internal Error - AIL Generator line opcode buffer full
15650,Internal Error - AIL evaluation stack underflow
15651,Internal Error - Assume directive failure
15652,Internal Error - Assert directive failure
15653,Program jump to unknown destination
15654,Additional info
15655,Bad type conversion
15656,Internal Error - Duplicate conflicting argument declarations in subprogram
15657,Internal Error - Duplicate conflicting variable declarations in subprogram
15658,Internal Error in Translator
15659,Internal Error - Illegal opcode executed
15660,Internal Error during Execution
15661,Internal Error - Interpreter call to ARNC0 API failed
15662,Internal Error - Cannot Unpop - stack changed
15663,Precompilation of Language config failed
15664,Unrecognised Arg WriteOpt character specified
15665,Interpreter initialised
15666,Precompiling language templates
15667,Invalid template call
15668,Call to undefined template
15669,Call to unknown G/M-code template
15670,Template argument not found
15671,Missing <ARG ..> entry in language config
15672,Reference to unknown argument
15673,"Bad Evaluation Phase name (First,Early,Normal,Late,Last,Off)"
15674,Execution stopped due to loader error
15675,Syntax not allowed in FileXL/DNC
15676,Attempt to read undefined variable (NULL pointer)
15677,Attempt to write to read-only PV
15678,Array index out of bounds
15679,Additional info
15680,Required argument missing
15681,Too many arguments specified
15682,Invalid argument combination
15683,Arrays must be declared with length greater than 0
15684,PV array with length greater than 1 declared as scalar
15685,"Interpreter busy, command rejected"
15686,Repeat count is ignored for modal subprogram calls
15687,Scope nesting too deep
15688,Name type of argument not supported
15689,Internal Error - Dynamic token stack full
15690,Internal Error in Translator - path synch instr lost
15691,Translation error - unrecognised argument
15692,Internal Error - FUB Generic Template not found
15693,"Value to store more than type max, possible data corruption"
15694,"Value to store less than type min, possible data corruption"
15695,Preload - nothing to do for FILE_XL or DNC
15696,Contradiction in template group rules
15697,Value not recognised in XML
15698,Illegal command combination
15699,Invalid DNC data object memtype
15700,Invalid DNC data object option
15701,Unterminated subprogram above drops through
15702,Hit maximum subprogram call depth
15703,Invalid subprogram argument ref
15704,Skip mark has no effect on this line
15705,Invalid variable type for operation
15706,Invalid initial step size in loop
15707,Lang Config Error - No INCR translation for macro
15708,"Invalid argument, literal required"
15709,Invalid DNC buffer - already in use
15710,Required parse token not configured
15711,XML Parser - error context
15712,Invalid GCode arguments ignored
15713,Internal error - Bad constant value in source
15714,Variable watch table full
15715,Internal error - Unable to take semaphore
15716,Invalid location specified
15717,Breakpoint table full
15718,Internal error - Invalid break mode in command
15719,Internal axis regexp too long for buffer (long name or many alternatives)
15720,Eval Query table full
15721,Eval Query too long
15722,Invalid operator
15723,Parse error in string
15724,Eval Query did not complete within retry cycle limit
15725,Programs unloaded for CNC reconfiguration
15726,No breakpoint found
15727,Structure variable member not found
15728,Restart buffer too small
15729,CNC Axis missing name
15730,Identifier already in use
15731,Missing template argument ref name
15732,Path synch operation needs retry
15733,Missing string length
15734,Wrong ARNC0 version for configuration
15735,Invalid file-scope variable access from local subprogram
15736,Bad string size in PassByRef arg
15737,Additional main-programs not allowed arguments
15738,Invalid axis name specified
15739,Invalid file device name
15740,Interpreter initialised
15741,Invalid error suppression config
15742,Modal subprogram unloaded while active
15743,Errors detected in block text
15744,Variable not found
15745,Program held waiting for release of accessed variable
15746,Block Start aborted
15747,Program load aborted
15748,Reference to unknown type
15749,Error importing type declarations
15750,Syntax error in literal value
15751,Invalid LANG_INCLUDE directive
15752,Error discovering type info from AR
15753,Type redeclaration ignored
15754,Type not valid for use with ip-vars
15755,Internal dimension limit reached
15756,Variable name too long (generating structure)
15757,Error generating structure profile for undeclared type
15758,Additional info
15759,Function arg/return type missing Ref/RetRef attribute
15760,Ambiguity exists between enum and previously declared identifier
15761,Ambiguity exists between type name and previously declared identifier
15762,Interpreter instance not initialised. See logger for details
15763,Fatal interpreter startup error - limit of manageable errors exceeded
15764,Too many array dimensions specified
15765,Inappropriate declaration attribute ignored
15766,Argument data size exceeds limit for passing by value
15767,Invalid member reference to a non-struct type
15768,"Offset array in PV type, discovery failed, TYP file must be provided"
15769,Interpreter initialization failed
15770,Calculated type size and discovered PV size conflict
15771,Incompatible PLC var declaration
15772,Declaration statement invalid within subprogram scope
15773,Declaration missing Type name
15774,Redeclaration of item overrides previous declaration
15775,Invalid value specified for XML attribute
15776,Conflicting setting specified
15777,Failed to delete old log buffer data object
15778,"(Warning) logging file device does not exist, logging will not be available"
15779,Invalid motion logging event
15780,(Warning) Out of motion log buffer space - end of log for this program
15781,Motion log buffer allocation limit hit
15782,Unable to allocate log buffer
15783,Logged path synchronous event never completed
15784,Log file scan complete
15785,Failed to write motion log file - logging disabled
15786,Failed to delete old motion log file
15787,Failed to open motion log buffer data object - logging aborted
15788,Invalid content detected in motion log buffer - aborting logging
15789,(Warning) Motion log file size limit hit - end of log for this program
15790,Error reading log file device directory - logging will not be available
15791,Lang Config Error - Expansion of AIL Macro failed
15792,Execution of a parameterised return statement failed
15793,Newer version of TRF_LIB required than used
15794,Transformation function returned error
15795,Transformation function returned warning
15796,TRF_LIB library is required
15797,Parse error - token too long
15798,Insufficient Path Synch jobs configured - all jobs active in block_buffer
15799,Required brackets missing
15800,Lang Config Error - Value list too long
15801,Additional info - Configuration option
15802,Configured resource exhausted - adjust config
15803,Fixed resource exhausted
15804,Extended Block Monitor disabled
15805,Failed to reposition execution - program will abort
15806,Initial value expression not constant
15807,Unexpected token found after the list item name
15808,Unexpected empty list
15809,Unexpected name in array value list
15810,Member name missing from the structure initialization list
15811,Unrecognized type member name
15812,Too many array initialization values
15813,Unexpected array literal - expecting scalar
15814,Unknown enumeration literal
15815,Repetition times must be greater or equal to 1
15816,Maximum nested depth of structures been reached during initialization
15817,Lang Config Error - Unrecognized scope literal in XML
15818,Specified scope is not supported for types
15819,Unnecessary use of dereference operator ignored
15820,Bit addressing is out of range or not supported for this variable
15821,Warning - Request for address of a pointer variable
15822,Incorrect pointer assignment - use regular assignment for manual deref vars
15823,Invalid range boundaries
15824,Invalid sub-range base type
15825,Circular type declaration
15826,Reference to a reference is not allowed
15827,Reference initialization is not allowed
15828,Invalid member navigation. Dereferencing required
15829,Invalid dereference operator
15830,Assigning to a member of reference type is not supported in list expressions
15831,Loss of integer precision - converted to float
15832,No valid default language defined
15833,Parse error - unknown identifier
15834,Syntax not allowed after line break
15835,Calls to configured language features not allowed in files loaded at INIT time
15836,String literal does not terminate at the end of line
15837,Invalid macro definition
15838,Unexpected end of file
15839,Macro definition exists
